angleX = 81.72 | angleY = 8.67 | angleZ = 87.63
inclinacaoX = -8.28 | inclinacaoY = -81.33 | inclinacaoZ = -2.37

angleX = 83.64 | angleY = 9.61 | angleZ = 82.92
inclinacaoX = -6.36 | inclinacaoY = -80.39 | inclinacaoZ = -7.08

angleX = 81.07 | angleY = 9.15 | angleZ = 88.24
inclinacaoX = -8.93 | inclinacaoY = -80.85 | inclinacaoZ = -1.76

angleX = 87.75 | angleY = 2.33 | angleZ = 90.41
inclinacaoX = -2.25 | inclinacaoY = -87.67 | inclinacaoZ = 0.41

angleX = 84.01 | angleY = 9.48 | angleZ = 82.76
inclinacaoX = -5.99 | inclinacaoY = -80.52 | inclinacaoZ = -7.24

angleX = 83.19 | angleY = 6.86 | angleZ = 90.47
inclinacaoX = -6.81 | inclinacaoY = -83.14 | inclinacaoZ = 0.47

angleX = 85.45 | angleY = 5.41 | angleZ = 87.20
inclinacaoX = -4.55 | inclinacaoY = -84.59 | inclinacaoZ = -2.80

angleX = 86.20 | angleY = 4.03 | angleZ = 88.84
inclinacaoX = -3.80 | inclinacaoY = -85.97 | inclinacaoZ = -1.16

angleX = 88.52 | angleY = 1.64 | angleZ = 89.43
inclinacaoX = -1.48 | inclinacaoY = -88.36 | inclinacaoZ = -0.57

angleX = 87.00 | angleY = 3.17 | angleZ = 89.16
inclinacaoX = -3.00 | inclinacaoY = -86.83 | inclinacaoZ = -0.84

angleX = 89.20 | angleY = 1.82 | angleZ = 88.43
inclinacaoX = -0.80 | inclinacaoY = -88.18 | inclinacaoZ = -1.57

angleX = 89.06 | angleY = 2.00 | angleZ = 88.31
inclinacaoX = -0.94 | inclinacaoY = -88.00 | inclinacaoZ = -1.69

angleX = 91.93 | angleY = 3.14 | angleZ = 87.54
inclinacaoX = 1.93 | inclinacaoY = -86.86 | inclinacaoZ = -2.46

angleX = 90.30 | angleY = 2.39 | angleZ = 87.67
inclinacaoX = 0.30 | inclinacaoY = -87.61 | inclinacaoZ = -2.33

angleX = 90.98 | angleY = 3.68 | angleZ = 86.49
inclinacaoX = 0.98 | inclinacaoY = -86.32 | inclinacaoZ = -3.51

angleX = 90.76 | angleY = 3.23 | angleZ = 86.90
inclinacaoX = 0.76 | inclinacaoY = -86.77 | inclinacaoZ = -3.10

angleX = 89.75 | angleY = 2.04 | angleZ = 88.02
inclinacaoX = -0.25 | inclinacaoY = -87.96 | inclinacaoZ = -1.98

angleX = 88.75 | angleY = 1.31 | angleZ = 89.85
inclinacaoX = -1.25 | inclinacaoY = -88.69 | inclinacaoZ = -0.15

angleX = 89.78 | angleY = 0.28 | angleZ = 90.14
inclinacaoX = -0.22 | inclinacaoY = -89.72 | inclinacaoZ = 0.14

angleX = 88.33 | angleY = 1.79 | angleZ = 89.55
inclinacaoX = -1.67 | inclinacaoY = -88.21 | inclinacaoZ = -0.45

angleX = 89.82 | angleY = 0.27 | angleZ = 89.90
inclinacaoX = -0.18 | inclinacaoY = -89.73 | inclinacaoZ = -0.10

angleX = 87.88 | angleY = 2.18 | angleZ = 89.78
inclinacaoX = -2.12 | inclinacaoY = -87.82 | inclinacaoZ = -0.22

angleX = 88.94 | angleY = 1.11 | angleZ = 89.92
inclinacaoX = -1.06 | inclinacaoY = -88.89 | inclinacaoZ = -0.08

angleX = 89.84 | angleY = 0.22 | angleZ = 90.12
inclinacaoX = -0.16 | inclinacaoY = -89.78 | inclinacaoZ = 0.12

angleX = 89.45 | angleY = 0.60 | angleZ = 90.10
inclinacaoX = -0.55 | inclinacaoY = -89.40 | inclinacaoZ = 0.10

angleX = 87.74 | angleY = 2.31 | angleZ = 90.14
inclinacaoX = -2.26 | inclinacaoY = -87.69 | inclinacaoZ = 0.14

angleX = 88.13 | angleY = 1.92 | angleZ = 90.10
inclinacaoX = -1.87 | inclinacaoY = -88.08 | inclinacaoZ = 0.10

angleX = 87.62 | angleY = 2.56 | angleZ = 90.87
inclinacaoX = -2.38 | inclinacaoY = -87.44 | inclinacaoZ = 0.87

angleX = 88.18 | angleY = 2.21 | angleZ = 91.22
inclinacaoX = -1.82 | inclinacaoY = -87.79 | inclinacaoZ = 1.22

angleX = 88.96 | angleY = 1.20 | angleZ = 90.55
inclinacaoX = -1.04 | inclinacaoY = -88.80 | inclinacaoZ = 0.55

angleX = 89.16 | angleY = 0.90 | angleZ = 90.22
inclinacaoX = -0.84 | inclinacaoY = -89.10 | inclinacaoZ = 0.22

angleX = 90.06 | angleY = 0.21 | angleZ = 90.26
inclinacaoX = 0.06 | inclinacaoY = -89.79 | inclinacaoZ = 0.26

angleX = 89.99 | angleY = 0.55 | angleZ = 90.59
inclinacaoX = -0.01 | inclinacaoY = -89.45 | inclinacaoZ = 0.59

angleX = 88.76 | angleY = 1.29 | angleZ = 90.17
inclinacaoX = -1.24 | inclinacaoY = -88.71 | inclinacaoZ = 0.17

angleX = 88.24 | angleY = 1.86 | angleZ = 89.56
inclinacaoX = -1.76 | inclinacaoY = -88.14 | inclinacaoZ = -0.44

angleX = 90.23 | angleY = 0.57 | angleZ = 90.58
inclinacaoX = 0.23 | inclinacaoY = -89.43 | inclinacaoZ = 0.58

angleX = 88.27 | angleY = 1.80 | angleZ = 90.29
inclinacaoX = -1.73 | inclinacaoY = -88.20 | inclinacaoZ = 0.29

angleX = 89.93 | angleY = 0.93 | angleZ = 90.97
inclinacaoX = -0.07 | inclinacaoY = -89.07 | inclinacaoZ = 0.97

angleX = 89.53 | angleY = 0.56 | angleZ = 90.25
inclinacaoX = -0.47 | inclinacaoY = -89.44 | inclinacaoZ = 0.25

angleX = 89.17 | angleY = 0.93 | angleZ = 90.35
inclinacaoX = -0.83 | inclinacaoY = -89.07 | inclinacaoZ = 0.35

angleX = 88.40 | angleY = 1.71 | angleZ = 90.52
inclinacaoX = -1.60 | inclinacaoY = -88.29 | inclinacaoZ = 0.52

angleX = 88.49 | angleY = 1.97 | angleZ = 91.25
inclinacaoX = -1.51 | inclinacaoY = -88.03 | inclinacaoZ = 1.25

angleX = 88.72 | angleY = 1.68 | angleZ = 91.08
inclinacaoX = -1.28 | inclinacaoY = -88.32 | inclinacaoZ = 1.08

angleX = 89.48 | angleY = 1.78 | angleZ = 91.74
inclinacaoX = -0.52 | inclinacaoY = -88.22 | inclinacaoZ = 1.74

angleX = 88.37 | angleY = 2.34 | angleZ = 91.68
inclinacaoX = -1.63 | inclinacaoY = -87.66 | inclinacaoZ = 1.68

angleX = 88.96 | angleY = 1.45 | angleZ = 91.02
inclinacaoX = -1.04 | inclinacaoY = -88.55 | inclinacaoZ = 1.02

angleX = 89.95 | angleY = 1.36 | angleZ = 91.40
inclinacaoX = -0.05 | inclinacaoY = -88.64 | inclinacaoZ = 1.40

angleX = 90.31 | angleY = 0.83 | angleZ = 90.83
inclinacaoX = 0.31 | inclinacaoY = -89.17 | inclinacaoZ = 0.83

angleX = 89.68 | angleY = 0.56 | angleZ = 90.48
inclinacaoX = -0.32 | inclinacaoY = -89.44 | inclinacaoZ = 0.48

angleX = 89.19 | angleY = 0.88 | angleZ = 90.28
inclinacaoX = -0.81 | inclinacaoY = -89.12 | inclinacaoZ = 0.28

angleX = 90.30 | angleY = 0.32 | angleZ = 90.24
inclinacaoX = 0.30 | inclinacaoY = -89.68 | inclinacaoZ = 0.24

angleX = 89.64 | angleY = 0.86 | angleZ = 90.80
inclinacaoX = -0.36 | inclinacaoY = -89.14 | inclinacaoZ = 0.80

angleX = 89.53 | angleY = 0.68 | angleZ = 90.48
inclinacaoX = -0.47 | inclinacaoY = -89.32 | inclinacaoZ = 0.48

angleX = 90.26 | angleY = 0.22 | angleZ = 90.10
inclinacaoX = 0.26 | inclinacaoY = -89.78 | inclinacaoZ = 0.10

angleX = 88.72 | angleY = 1.37 | angleZ = 90.39
inclinacaoX = -1.28 | inclinacaoY = -88.63 | inclinacaoZ = 0.39

angleX = 88.57 | angleY = 1.53 | angleZ = 90.42
inclinacaoX = -1.43 | inclinacaoY = -88.47 | inclinacaoZ = 0.42

angleX = 88.88 | angleY = 1.25 | angleZ = 90.50
inclinacaoX = -1.12 | inclinacaoY = -88.75 | inclinacaoZ = 0.50

angleX = 88.80 | angleY = 1.24 | angleZ = 90.06
inclinacaoX = -1.20 | inclinacaoY = -88.76 | inclinacaoZ = 0.06

angleX = 89.43 | angleY = 0.67 | angleZ = 90.32
inclinacaoX = -0.57 | inclinacaoY = -89.33 | inclinacaoZ = 0.32

angleX = 89.85 | angleY = 0.20 | angleZ = 89.99
inclinacaoX = -0.15 | inclinacaoY = -89.80 | inclinacaoZ = -0.01

angleX = 90.20 | angleY = 0.34 | angleZ = 90.35
inclinacaoX = 0.20 | inclinacaoY = -89.66 | inclinacaoZ = 0.35

angleX = 90.05 | angleY = 0.64 | angleZ = 90.69
inclinacaoX = 0.05 | inclinacaoY = -89.36 | inclinacaoZ = 0.69

angleX = 90.37 | angleY = 0.82 | angleZ = 90.80
inclinacaoX = 0.37 | inclinacaoY = -89.18 | inclinacaoZ = 0.80

angleX = 90.99 | angleY = 1.05 | angleZ = 90.49
inclinacaoX = 0.99 | inclinacaoY = -88.95 | inclinacaoZ = 0.49

angleX = 90.81 | angleY = 0.77 | angleZ = 90.03
inclinacaoX = 0.81 | inclinacaoY = -89.23 | inclinacaoZ = 0.03

angleX = 89.40 | angleY = 0.70 | angleZ = 90.32
inclinacaoX = -0.60 | inclinacaoY = -89.30 | inclinacaoZ = 0.32

angleX = 90.98 | angleY = 0.94 | angleZ = 90.06
inclinacaoX = 0.98 | inclinacaoY = -89.06 | inclinacaoZ = 0.06

angleX = 89.72 | angleY = 0.49 | angleZ = 90.40
inclinacaoX = -0.28 | inclinacaoY = -89.51 | inclinacaoZ = 0.40

angleX = 90.63 | angleY = 0.72 | angleZ = 90.47
inclinacaoX = 0.63 | inclinacaoY = -89.28 | inclinacaoZ = 0.47

angleX = 89.30 | angleY = 1.34 | angleZ = 91.16
inclinacaoX = -0.70 | inclinacaoY = -88.66 | inclinacaoZ = 1.16

angleX = 91.58 | angleY = 1.61 | angleZ = 90.55
inclinacaoX = 1.58 | inclinacaoY = -88.39 | inclinacaoZ = 0.55

angleX = 91.34 | angleY = 1.43 | angleZ = 90.65
inclinacaoX = 1.34 | inclinacaoY = -88.57 | inclinacaoZ = 0.65

angleX = 91.31 | angleY = 1.87 | angleZ = 91.43
inclinacaoX = 1.31 | inclinacaoY = -88.13 | inclinacaoZ = 1.43

angleX = 90.92 | angleY = 1.78 | angleZ = 91.59
inclinacaoX = 0.92 | inclinacaoY = -88.22 | inclinacaoZ = 1.59

angleX = 90.91 | angleY = 0.99 | angleZ = 90.53
inclinacaoX = 0.91 | inclinacaoY = -89.01 | inclinacaoZ = 0.53

angleX = 90.57 | angleY = 1.01 | angleZ = 90.91
inclinacaoX = 0.57 | inclinacaoY = -88.99 | inclinacaoZ = 0.91

angleX = 90.76 | angleY = 1.43 | angleZ = 91.29
inclinacaoX = 0.76 | inclinacaoY = -88.57 | inclinacaoZ = 1.29

angleX = 90.07 | angleY = 1.02 | angleZ = 91.07
inclinacaoX = 0.07 | inclinacaoY = -88.98 | inclinacaoZ = 1.07

angleX = 90.61 | angleY = 0.79 | angleZ = 90.60
inclinacaoX = 0.61 | inclinacaoY = -89.21 | inclinacaoZ = 0.60

angleX = 89.99 | angleY = 1.41 | angleZ = 91.46
inclinacaoX = -0.01 | inclinacaoY = -88.59 | inclinacaoZ = 1.46

angleX = 90.74 | angleY = 2.32 | angleZ = 92.26
inclinacaoX = 0.74 | inclinacaoY = -87.68 | inclinacaoZ = 2.26

angleX = 90.14 | angleY = 2.20 | angleZ = 92.24
inclinacaoX = 0.14 | inclinacaoY = -87.80 | inclinacaoZ = 2.24

angleX = 90.90 | angleY = 2.30 | angleZ = 92.18
inclinacaoX = 0.90 | inclinacaoY = -87.70 | inclinacaoZ = 2.18

angleX = 90.80 | angleY = 2.02 | angleZ = 91.92
inclinacaoX = 0.80 | inclinacaoY = -87.98 | inclinacaoZ = 1.92

angleX = 90.24 | angleY = 3.00 | angleZ = 93.04
inclinacaoX = 0.24 | inclinacaoY = -87.00 | inclinacaoZ = 3.04

angleX = 89.88 | angleY = 2.72 | angleZ = 92.76
inclinacaoX = -0.12 | inclinacaoY = -87.28 | inclinacaoZ = 2.76

angleX = 89.12 | angleY = 2.30 | angleZ = 92.15
inclinacaoX = -0.88 | inclinacaoY = -87.70 | inclinacaoZ = 2.15

angleX = 90.34 | angleY = 3.02 | angleZ = 93.05
inclinacaoX = 0.34 | inclinacaoY = -86.98 | inclinacaoZ = 3.05

angleX = 90.03 | angleY = 3.19 | angleZ = 93.24
inclinacaoX = 0.03 | inclinacaoY = -86.81 | inclinacaoZ = 3.24

angleX = 89.67 | angleY = 3.07 | angleZ = 93.09
inclinacaoX = -0.33 | inclinacaoY = -86.93 | inclinacaoZ = 3.09

angleX = 89.79 | angleY = 3.19 | angleZ = 93.23
inclinacaoX = -0.21 | inclinacaoY = -86.81 | inclinacaoZ = 3.23

angleX = 90.09 | angleY = 3.70 | angleZ = 93.74
inclinacaoX = 0.09 | inclinacaoY = -86.30 | inclinacaoZ = 3.74

angleX = 90.73 | angleY = 4.06 | angleZ = 94.05
inclinacaoX = 0.73 | inclinacaoY = -85.94 | inclinacaoZ = 4.05

angleX = 88.68 | angleY = 4.30 | angleZ = 94.12
inclinacaoX = -1.32 | inclinacaoY = -85.70 | inclinacaoZ = 4.12

angleX = 89.04 | angleY = 4.31 | angleZ = 94.23
inclinacaoX = -0.96 | inclinacaoY = -85.69 | inclinacaoZ = 4.23

angleX = 89.89 | angleY = 4.48 | angleZ = 94.52
inclinacaoX = -0.11 | inclinacaoY = -85.52 | inclinacaoZ = 4.52

angleX = 89.09 | angleY = 4.13 | angleZ = 94.07
inclinacaoX = -0.91 | inclinacaoY = -85.87 | inclinacaoZ = 4.07

angleX = 89.11 | angleY = 4.92 | angleZ = 94.87
inclinacaoX = -0.89 | inclinacaoY = -85.08 | inclinacaoZ = 4.87

angleX = 89.58 | angleY = 4.74 | angleZ = 94.76
inclinacaoX = -0.42 | inclinacaoY = -85.26 | inclinacaoZ = 4.76

angleX = 88.68 | angleY = 5.59 | angleZ = 95.47
inclinacaoX = -1.32 | inclinacaoY = -84.41 | inclinacaoZ = 5.47

angleX = 88.04 | angleY = 6.02 | angleZ = 95.72
inclinacaoX = -1.96 | inclinacaoY = -83.98 | inclinacaoZ = 5.72

angleX = 86.08 | angleY = 7.01 | angleZ = 95.82
inclinacaoX = -3.92 | inclinacaoY = -82.99 | inclinacaoZ = 5.82

angleX = 88.08 | angleY = 8.93 | angleZ = 98.75
inclinacaoX = -1.92 | inclinacaoY = -81.07 | inclinacaoZ = 8.75

angleX = 87.33 | angleY = 9.12 | angleZ = 98.75
inclinacaoX = -2.67 | inclinacaoY = -80.88 | inclinacaoZ = 8.75

angleX = 87.25 | angleY = 8.23 | angleZ = 97.77
inclinacaoX = -2.75 | inclinacaoY = -81.77 | inclinacaoZ = 7.77

angleX = 87.39 | angleY = 5.98 | angleZ = 95.40
inclinacaoX = -2.61 | inclinacaoY = -84.02 | inclinacaoZ = 5.40

angleX = 87.90 | angleY = 5.31 | angleZ = 94.90
inclinacaoX = -2.10 | inclinacaoY = -84.69 | inclinacaoZ = 4.90

angleX = 88.80 | angleY = 4.60 | angleZ = 94.48
inclinacaoX = -1.20 | inclinacaoY = -85.40 | inclinacaoZ = 4.48

angleX = 89.13 | angleY = 3.82 | angleZ = 93.76
inclinacaoX = -0.87 | inclinacaoY = -86.18 | inclinacaoZ = 3.76

angleX = 89.87 | angleY = 3.51 | angleZ = 93.55
inclinacaoX = -0.13 | inclinacaoY = -86.49 | inclinacaoZ = 3.55

angleX = 89.21 | angleY = 3.06 | angleZ = 92.99
inclinacaoX = -0.79 | inclinacaoY = -86.94 | inclinacaoZ = 2.99

angleX = 89.24 | angleY = 2.36 | angleZ = 92.27
inclinacaoX = -0.76 | inclinacaoY = -87.64 | inclinacaoZ = 2.27

angleX = 89.72 | angleY = 1.59 | angleZ = 91.60
inclinacaoX = -0.28 | inclinacaoY = -88.41 | inclinacaoZ = 1.60

angleX = 89.02 | angleY = 2.08 | angleZ = 91.85
